game_date,home_team,away_team,predicted_total,actual_total,error
2026-01-08,BOS,DEN,233.64127555182245,224,9.641275551822446
2026-01-08,ATL,NOP,221.33924216704042,217,4.339242167040425
2026-01-08,BKN,ORL,224.98067717765673,207,17.98067717765673
2026-01-08,NYK,LAC,231.91400576364165,234,-2.0859942363583457
2026-01-08,MEM,PHX,209.47366157335807,215,-5.526338426641928
2026-01-08,DAL,UTA,226.8058348696261,230,-3.1941651303739036
2026-01-08,UTA,DAL,228.2821334116361,230,-1.7178665883639042
2026-01-08,LAL,SAS,209.26616014579483,198,11.266160145794828
2026-01-08,UTA,OKC,243.23913787556495,254,-10.76086212443505
2026-01-08,PHX,MEM,210.605689844128,215,-4.394310155872006
2026-01-08,CHI,DET,205.18403266352172,201,4.1840326635217195
2026-01-08,TOR,CHA,208.82606058660573,193,15.826060586605735
2026-01-08,CLE,MIN,235.9231414433759,253,-17.076858556624103
2026-01-08,WAS,PHI,239.2944136801127,241,-1.7055863198872885
2026-01-08,DEN,BOS,230.64108875491303,224,6.641088754913028
2026-01-08,NOP,ATL,220.96012336117388,217,3.960123361173885
2026-01-08,ORL,BKN,219.95748308470397,207,12.957483084703966
2026-01-08,LAC,NYK,230.02557730703805,234,-3.9744226929619515
2026-01-08,IND,CHA,218.6473277705411,226,-7.3526722294589035
2026-01-09,CHA,IND,218.61817709686431,226,-7.381822903135685
2026-01-09,MIN,CLE,236.7916586632451,253,-16.2083413367549
2026-01-09,UTA,DAL,231.87522047253842,230,1.875220472538416
2026-01-09,NOP,WAS,223.63206415813343,235,-11.367935841866569
2026-01-09,OKC,MEM,225.46108139588537,233,-7.538918604114627
2026-01-09,ATL,DEN,226.97556134699377,197,29.97556134699377
2026-01-09,NYK,PHX,219.49453921375368,219,0.4945392137536828
2026-01-09,SAC,GSW,221.89463399151242,240,-18.10536600848758
2026-01-09,HOU,POR,210.38035385668496,216,-5.6196461433150375
2026-01-09,MIL,LAL,216.58175562403648,206,10.581755624036475
2026-01-09,PHX,NYK,221.53455560162234,219,2.534555601622344
2026-01-09,DEN,ATL,218.51370627559774,197,21.51370627559774
2026-01-09,MEM,OKC,228.06414786411972,233,-4.935852135880282
2026-01-09,BKN,LAC,222.3560028816089,226,-3.6439971183910984
2026-01-09,WAS,NOP,226.85018234031375,235,-8.14981765968625
2026-01-09,PHI,ORL,234.00355977936564,194,40.003559779365645
2026-01-09,DAL,UTA,231.76785065482693,230,1.7678506548269297
2026-01-09,CLE,MIN,239.6741729368568,253,-13.325827063143208
